"velocity_vectors:0","velocity_vectors:1","velocity_vectors:2","another_vector_set:0","another_vector_set:1","another_vector_set:2","EinLustigerSkalar","Points:0","Points:1","Points:2"
-0.95728,0.090413,0.27467,-9.5728,0.18083,0.27467,1,7.5e-008,9.5e-008,5e-009
-0.9398,0.08077,0.33203,-9.398,0.16154,0.33203,1,7.5e-008,9.5e-008,1.5e-008
-0.86371,-0.50278,-0.034868,-8.6371,-1.0056,-0.034868,1,8.5e-008,7.5e-008,5e-009
0.71787,-0.54374,-0.43475,7.1787,-1.0875,-0.43475,1,8.5e-008,6.5e-008,5e-009
-0.52863,-0.069565,0.846,-5.2863,-0.13913,0.846,1,8.5e-008,7.5e-008,1.5e-008
0.49205,0.48802,-0.72092,4.9205,0.97603,-0.72092,1,8.5e-008,6.5e-008,1.5e-008
-0.99991,0.0059692,-0.012372,-9.9991,0.011938,-0.012372,1,8.5e-008,8.5e-008,5e-009
-0.99988,-0.01052,-0.011063,-9.9988,-0.02104,-0.011063,1,8.5e-008,8.5e-008,1.5e-008
-0.20804,-0.71117,-0.67153,-2.0804,-1.4223,-0.67153,1,8.5e-008,9.5e-008,5e-009
-0.1531,0.50627,-0.84868,-1.531,1.0125,-0.84868,1,8.5e-008,9.5e-008,1.5e-008
-0.96009,0.090069,-0.2648,-9.6009,0.18014,-0.2648,1,9.5e-008,7.5e-008,5e-009
-0.90615,0.0028691,-0.42294,-9.0615,0.0057381,-0.42294,1,9.5e-008,6.5e-008,5e-009
-0.94178,0.074688,-0.32783,-9.4178,0.14938,-0.32783,1,9.5e-008,7.5e-008,1.5e-008
-0.8672,0.018975,-0.49759,-8.672,0.037951,-0.49759,1,9.5e-008,6.5e-008,1.5e-008
-0.98512,0.033075,-0.16864,-9.8512,0.06615,-0.16864,1,9.5e-008,8.5e-008,5e-009
-0.98016,0.0036036,-0.19819,-9.8016,0.0072071,-0.19819,1,9.5e-008,8.5e-008,1.5e-008
-0.98044,-0.039576,-0.19281,-9.8044,-0.079152,-0.19281,1,9.5e-008,9.5e-008,5e-009
-0.97669,-0.078358,-0.19986,-9.7669,-0.15672,-0.19986,1,9.5e-008,9.5e-008,1.5e-008
0.71942,0.63577,-0.27972,7.1942,1.2715,-0.27972,1,9.5e-008,5.5e-008,5e-009
-0.86141,-0.013382,-0.50774,-8.614,-0.026765,-0.50774,1,1.05e-007,6.5e-008,5e-009
-0.90998,0.24155,0.33703,-9.0998,0.48309,0.33703,1,1.05e-007,5.5e-008,5e-009
0.61272,0.58498,0.53139,6.1272,1.17,0.53139,1,9.5e-008,5.5e-008,1.5e-008
-0.75445,0.0064639,-0.65632,-7.5445,0.012928,-0.65632,1,1.05e-007,6.5e-008,1.5e-008
-0.57645,0.68852,0.44005,-5.7645,1.377,0.44005,1,1.05e-007,5.5e-008,1.5e-008
-0.9247,0.11948,-0.36147,-9.247,0.23896,-0.36147,1,1.05e-007,7.5e-008,5e-009
